50000	49.251
48961	46.334
47934	43.775
46917	43.499
45912	43.467
44918	43.721
43935	44.091
42962	44.65
42001	45.265
41051	46.026
40112	46.802
39183	47.728
38266	48.656
37360	49.72
36464	50.779
35580	51.977
34706	53.163
33844	54.506
32992	55.816
32152	57.268
31323	58.71
30504	60.328
29697	61.913
28901	63.674
28116	65.409
27343	67.343
26580	69.246
25829	71.35
25089	73.419
24360	75.723
23643	77.999
22936	80.537
22242	83.023
21558	85.757
20886	88.466
20226	91.51
19577	94.512
18939	97.843
18313	101.14
17699	104.78
17096	108.36
16504	112.37
15925	116.36
15356	120.8
14800	125.18
14255	130.05
13722	134.85
13201	140.21
12691	145.56
12194	151.52
11708	157.46
11233	164.03
10771	170.56
10320	177.81
9881.2	185.08
9454	193.15
9038.6	201.17
8634.9	210.09
8242.9	219.01
7862.7	228.87
7494	238.74
7137	249.64
6791.5	260.55
6457.6	272.59
6134.9	284.61
5823.7	297.83
5523.6	311.03
5234.6	325.46
4956.6	339.85
4689.4	355.47
4432.9	370.98
4186.9	387.7
3951.2	404.17
3725.6	421.62
3509.9	438.63
3303.8	456.39
3107.2	473.46
2919.9	490.84
2741.5	507.17
2571.9	523.49
2410.7	538.94
2257.9	552.5
2113	563.43
1976	572.18
1846.6	579.14
1724.4	584.63
1609.4	588.93
1501.1	592.27
1399.4	594.83
1304	596.77
1214.5	598.23
1130.8	599.29
1052.4	600.06
979.21	600.6
910.78	600.96
846.86	601.19
787.18	601.31
731.46	601.37
679.42	601.37
630.83	601.33
585.45	601.26
543.05	601.19
503.44	601.1
466.43	601
431.84	600.91
399.52	600.82
369.32	600.73
341.12	600.65
314.8	600.57
290.25	600.5
267.37	600.44
246.08	600.38
226.28	600.33
207.91	600.29
190.89	600.25
175.15	600.21
160.62	600.18
147.25	600.15
134.96	600.13
123.69	600.11
113.38	600.09
103.98	600.08
95.413	600.07
87.631	600.06
80.574	600.05
74.189	600.04
68.421	600.04
63.22	600.03
58.539	600.03
54.332	600.02
50.557	600.02
47.173	600.02
44.143	600.02
41.434	600.01
39.013	600.01
36.853	600.01
34.926	600.01
33.209	600.01
31.68	600.01
30.318	600.01
29.107	600.01
28.03	600.01
27.072	600.01
26.221	600.01
25.464	600.01
24.793	600
24.196	600
23.666	600
23.195	600
22.777	600
22.406	600
22.077	600
21.784	600
21.524	600
21.293	600
21.087	600
20.904	600
20.742	600
20.597	600
20.469	600
20.354	600
20.252	600
20.16	600
20.079	600
20.006	600
19.941	600
19.882	600
19.83	600
19.783	600
19.74	600
19.702	600
19.667	600
19.636	600
19.608	600
19.582	600
19.558	600
19.537	600
19.517	600
19.499	600
19.482	600
19.466	600
19.452	600
19.438	600
19.426	600
19.414	600
19.403	600
19.393	600
19.383	600
19.373	600
19.364	600
19.356	600
19.348	600
19.34	600
19.332	600
19.325	600
19.318	600
19.311	600
19.304	600
19.297	600
19.291	600
19.285	600
19.279	600
19.273	600
19.267	600
19.261	600
19.256	600
19.25	600
19.245	600
19.239	600
19.234	600
19.229	600
19.224	600
19.219	600
19.214	600
19.209	600
19.204	600
19.199	600
19.195	600
19.19	600
19.185	600
19.181	600
19.176	600
19.172	600
19.168	600
19.163	600
19.159	600
19.155	600
19.151	600
19.147	600
19.143	600
19.139	600
19.135	600
19.131	600
19.127	600
19.123	600
19.12	600
19.116	600
19.113	600
19.109	600
19.106	600
19.102	600
19.099	600
19.095	600
19.092	600
19.089	600
19.086	600
19.083	600
19.08	600
19.077	600
19.074	600
19.071	600
19.068	600
19.065	600
19.062	600
19.06	600
19.057	600
19.054	600
19.052	600
19.049	600
19.047	600
19.045	600
19.042	600
19.04	600
19.038	600
19.035	600
19.033	600
19.031	600
19.029	600
19.027	600
19.025	600
19.023	600
19.021	600
19.019	600
19.018	600
19.016	600
19.014	600
19.012	600
19.011	600
19.009	600
19.007	600
19.006	600
19.004	600
19.003	600
19.002	600
19	600
18.999	600
18.997	600
18.996	600
18.995	600
18.994	600
18.993	600
18.991	600
18.99	600
18.989	600
18.988	600
18.987	600
18.986	600
18.985	600
18.984	600
18.983	600
18.982	600
18.982	600
18.981	600
18.98	600
18.979	600
18.978	600
18.978	600
18.977	600
18.976	600
18.976	600
18.975	600
18.974	600
18.974	600
18.973	600
18.973	600
18.972	600
18.972	600
18.971	600
18.971	600
18.97	600
18.97	600
18.969	600
18.969	600
18.969	600
18.968	600
18.968	600
18.967	600
18.967	600
18.967	600
18.967	600
18.966	600
18.966	600
18.966	600
18.965	600
18.965	600
18.965	600
18.965	600
18.965	600
18.964	600
18.964	600
18.964	600
18.964	600
18.964	600
18.963	600
18.963	600
18.963	600
18.963	600
18.963	600
18.963	600
18.963	600
18.963	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.962	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
18.961	600
