% Model:              Calibration1.mph
% Version:            COMSOL 5.5.0.292
% Date:               Aug 5 2020, 10:54
% Dimension:          1
% Nodes:              1387
% Expressions:        1
% Description:        Line graph
% x                       Height
0                         -3.117403623775769
0.003607503607503608      1751.290062732606
0.007215007215007216      2902.894199757722
0.010822510822510824      3533.64311824981
0.014430014430014432      3730.011983896585
0.01803751803751804       3542.2252030534733
0.021645021645021648      3064.248486526478
0.02525252525252526       2447.2037451926076
0.028860028860028863      1781.7069409029768
0.03246753246753247       1023.2151700938905
0.03607503607503608       323.7358564258554
0.03968253968253969       -345.5042562868297
0.0432900432900433        -938.8884432288185
0.0468975468975469        -1449.5913472934476
0.05050505050505051       -1897.7438886633688
0.054112554112554126      -2287.468589368158
0.057720057720057734      -2598.810786552631
0.06132756132756134       -2839.3406306751644
0.06493506493506494       -3076.784108786083
0.06854256854256856       -3255.5013148779008
0.07215007215007216       -3417.5286274510167
0.07575757575757579       -3546.08132142732
0.07936507936507937       -3646.0644250027453
0.082972582972583         -3734.52719520807
0.0865800865800866        -3812.8086677113197
0.09018759018759022       -3863.8961008459737
0.0937950937950938        -3890.5005193976726
0.09740259740259744       -3939.2997777203755
0.10101010101010102       -3964.6858971593524
0.10461760461760465       -3995.720379487832
0.10822510822510825       -4015.66084338533
0.11183261183261185       -4026.4188410888373
0.11544011544011547       -4039.2683238743634
0.11904761904761907       -4052.741690875006
0.12265512265512268       -4051.362512089607
0.1262626262626263        -4036.36692332827
0.12987012987012989       -4045.3096376078825
0.13347763347763347       -4039.377341130997
0.13708513708513712       -4042.2333847696273
0.14069264069264073       -4038.957349847447
0.1443001443001443        -4031.073509236332
0.1479076479076479        -4027.6685828452905
0.15151515151515152       -4026.695054825165
0.15512265512265513       -4014.496131005483
0.15873015873015872       -3992.0536013604783
0.16233766233766234       -3991.812356839954
0.16594516594516595       -3979.7132286732726
0.16955266955266957       -3976.291477047436
0.17316017316017315       -3968.24492244323
0.17676767676767674       -3957.0878857369357
0.18037518037518036       -3950.668135168126
0.18398268398268391       -3946.7892051254944
0.18759018759018756       -3933.243307110896
0.19119769119769114       -3910.963489201105
0.19480519480519476       -3908.932309047085
