% Model:              Calibration1.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jul 28 2020, 11:43
% Dimension:          1
% Nodes:              631
% Expressions:        1
% Description:        Line graph
% x                       Height
0                         9.028593694893053E-5
0.007936507936507936      -104.21408904986852
0.015873015873015872      -207.22966843293003
0.02380952380952381       -308.4254268739667
0.031746031746031744      -406.67102868162846
0.03968253968253968       -500.3735888276135
0.04761904761904762       -588.2198031205229
0.05555555555555555       -669.7357022613625
0.06349206349206349       -745.1707673015158
0.07142857142857144       -814.8195281567602
0.07936507936507936       -878.3010929631977
0.08730158730158731       -936.6209190518183
0.09523809523809523       -989.039723308422
0.10317460317460317       -1036.6266800609756
0.11111111111111112       -1079.9473302119216
0.11904761904761904       -1119.159320559901
0.12698412698412698       -1154.3411555879136
0.1349206349206349        -1185.7612452004378
0.14285714285714285       -1213.8858180473865
0.15079365079365079       -1239.1213273295125
0.15873015873015872       -1261.4665477712197
0.16666666666666669       -1281.576437075812
0.1746031746031746        -1299.0393552746143
0.18253968253968253       -1314.5311425935363
0.1904761904761905        -1328.3814785637974
0.1984126984126984        -1340.650363420308
0.2063492063492063        -1351.3334737406938
0.21428571428571427       -1360.5338802017984
0.22222222222222224       -1368.4793972138452
0.23015873015873017       -1375.3694196911667
0.23809523809523808       -1381.1423820262107
0.24603174603174605       -1386.1661805748597
0.25396825396825395       -1390.0626186579773
0.2619047619047619        -1393.2560734427839
0.2698412698412698        -1395.919345916083
0.2777777777777778        -1398.034132892987
0.28571428571428575       -1399.538304376263
0.29365079365079366       -1400.4502724090728
0.30158730158730157       -1400.8860541636623
0.30952380952380953       -1400.9521544928548
0.31746031746031744       -1400.5709738076448
0.3253968253968254        -1399.9752560305851
0.3333333333333333        -1398.8312160537491
0.3412698412698413        -1397.4430273031246
0.3492063492063492        -1395.9173275553653
0.35714285714285715       -1394.2133538021567
0.3650793650793651        -1392.257119307486
0.373015873015873         -1390.0383963454162
0.38095238095238093       -1387.6267874124424
0.38888888888888884       -1385.0912318433886
0.3968253968253968        -1382.3616405204705
0.40476190476190477       -1379.602492180878
0.4126984126984127        -1376.5265176786686
0.42063492063492064       -1373.3730675468921
0.42857142857142855       -1370.2187476280005
0.4365079365079365        -1367.0203238759898
0.4444444444444444        -1363.7072962422951
0.4523809523809524        -1360.2608391994397
0.46031746031746035       -1356.728850534387
0.4682539682539683        -1353.1630219836886
0.47619047619047616       -1349.505775932285
0.48412698412698413       -1345.8814607805311
0.4920634920634921        -1342.0436052634686
0.5                       -1338.1904599217821
0.5079365079365079        -1334.382467625558
0.5158730158730158        -1330.579659855053
0.5238095238095238        -1326.718749903988
0.5317460317460317        -1322.7790550669229
0.5396825396825397        -1318.796531857052
0.5476190476190477        -1314.8133791305897
0.5555555555555556        -1310.7839057802823
0.5634920634920635        -1306.8056800893319
0.5714285714285715        -1302.666465482267
0.5793650793650794        -1298.535026846365
0.5873015873015873        -1294.4615412592373
0.5952380952380953        -1290.4105397751298
0.6031746031746031        -1286.3261821152025
0.611111111111111         -1282.1881942806133
0.619047619047619         -1278.0249218845927
0.626984126984127         -1273.8723699911734
0.6349206349206349        -1269.6949139824258
0.6428571428571429        -1265.5705895698604
0.6507936507936507        -1261.3157948095964
0.6587301587301586        -1257.076316451985
0.6666666666666666        -1252.8949288486817
0.6746031746031745        -1248.7406019493565
0.6825396825396824        -1244.5643447655061
0.6904761904761904        -1240.3471297040257
0.6984126984126984        -1236.1119688396716
0.7063492063492063        -1231.8903106761911
0.7142857142857142        -1227.6547916749355
0.7222222222222222        -1223.4684521035379
0.7301587301587301        -1219.1719567539383
0.738095238095238         -1214.8922999654335
0.746031746031746         -1210.6664772734337
0.753968253968254         -1206.4674658104611
0.7619047619047619        -1202.2523060300746
0.7698412698412699        -1198.0034149359528
0.7777777777777777        -1193.7397296220656
0.7857142857142856        -1189.4890146661926
0.7936507936507936        -1185.230617112622
0.8015873015873015        -1181.0156065493932
0.8095238095238095        -1176.7054374128836
0.8174603174603174        -1172.4111932798342
0.8253968253968255        -1168.1651044146963
0.8333333333333333        -1163.9436862439102
0.8412698412698413        -1159.709282199869
0.8492063492063492        -1155.4457934267919
0.8571428571428572        -1151.16892147165
0.8650793650793651        -1146.903309503762
0.873015873015873         -1142.633751747545
0.880952380952381         -1138.4015639135032
0.888888888888889         -1134.086218304957
0.8968253968253967        -1129.7850483358604
0.9047619047619048        -1125.526231913894
0.9126984126984128        -1121.289393674046
0.9206349206349206        -1117.0415514141032
0.9285714285714286        -1112.7680568404078
0.9365079365079365        -1108.4819723221092
0.9444444444444445        -1104.2052175494055
0.9523809523809523        -1099.9270092863744
0.9603174603174603        -1095.6806189034357
0.9682539682539683        -1091.3612754022342
0.9761904761904762        -1087.0542651871692
0.984126984126984         -1082.7842480317136
0.992063492063492         -1078.5335749986364
1                         -1074.273391003948
1.007936507936508         -1069.9904238064296
1.0158730158730158        -1065.6955319475817
1.0238095238095237        -1061.4081994194312
1.0317460317460316        -1057.1212079817647
1.0396825396825395        -1052.8611298914602
1.0476190476190477        -1048.53704769826
1.0555555555555554        -1044.2235896452762
1.0634920634920635        -1039.9423195093068
1.0714285714285712        -1035.677983762496
1.0793650793650793        -1031.4053870141738
1.0873015873015872        -1027.1125542126417
1.0952380952380953        -1022.8084877318641
1.103174603174603         -1018.5104748443327
1.1111111111111112        -1014.2141576022316
1.119047619047619         -1009.9405153275346
1.1269841269841272        -1005.6108597931503
1.1349206349206349        -1001.2903348258168
1.142857142857143         -996.997756998602
1.150793650793651         -992.7199813311836
